epoch,train_loss,valid_loss,time
0,0.6053600311279297,0.6150113344192505,00:02
1,0.5482045412063599,0.5503991842269897,00:02
2,0.4057249426841736,0.38259056210517883,00:02
3,0.18130576610565186,0.1561923623085022,00:02
4,0.0694895014166832,0.07054812461137772,00:02
5,0.05228058993816376,0.06019432842731476,00:02
6,0.047243691980838776,0.05757803097367287,00:02
7,0.04689938947558403,0.05670134723186493,00:02
8,0.03865319862961769,0.05654493346810341,00:02
9,0.04636615887284279,0.056209761649370193,00:02
10,0.044957198202610016,0.055479276925325394,00:02
11,0.043854471296072006,0.05439962446689606,00:02
12,0.04262412339448929,0.05402680113911629,00:02
13,0.04401252791285515,0.053833626210689545,00:02
14,0.041329968720674515,0.05371297150850296,00:03
15,0.049232423305511475,0.053335223346948624,00:03
16,0.044751059263944626,0.05321560055017471,00:02
17,0.04311290383338928,0.053350482136011124,00:04
18,0.04103614389896393,0.05345115065574646,00:03
19,0.03979078307747841,0.05364789441227913,00:02
20,0.0440356507897377,0.05336952209472656,00:02
21,0.0406285785138607,0.05351689085364342,00:02
22,0.04418085515499115,0.05345488712191582,00:03
23,0.04165640473365784,0.05372149869799614,00:03
24,0.04960905760526657,0.05354124680161476,00:03
25,0.04866369441151619,0.05317532643675804,00:03
26,0.03907938674092293,0.053608085960149765,00:02
27,0.03969144821166992,0.05365986377000809,00:02
28,0.042063601315021515,0.05346561595797539,00:02
29,0.040500346571207047,0.0536150187253952,00:03
30,0.04031145200133324,0.05352067947387695,00:02
31,0.04827605187892914,0.05321894586086273,00:02
32,0.03825013339519501,0.053544413298368454,00:02
33,0.04366578534245491,0.053444232791662216,00:02
34,0.04454996809363365,0.053396448493003845,00:02
35,0.040578149259090424,0.05369219928979874,00:02
36,0.045373279601335526,0.05350741744041443,00:02
37,0.04039746895432472,0.0535404272377491,00:02
38,0.04280067980289459,0.05353640764951706,00:02
39,0.037293463945388794,0.05349143221974373,00:02
40,0.04269985854625702,0.05346916243433952,00:03
41,0.045574672520160675,0.05347110703587532,00:02
42,0.045678913593292236,0.05348740145564079,00:02
43,0.04493284225463867,0.05346923694014549,00:03
44,0.04169192910194397,0.053453851491212845,00:02
45,0.04547677934169769,0.053445130586624146,00:03
46,0.04340953379869461,0.053448136895895004,00:03
47,0.043237295001745224,0.053445395082235336,00:02
48,0.045339491218328476,0.053446196019649506,00:03
49,0.046943940222263336,0.053445834666490555,00:03
